title,runtime,audience_score,movie_score,tomatometer_count,user_rating_count,genre_Action,genre_Adventure,genre_Comedy,genre_Fantasy,genre_Horror,genre_Romance,genre_Sci-fi,genre_Special Interest,genre_Western,genre_FamilyKids,genre_AnimationManga,genre_FitnessSports,genre_DramaTele,genre_MusicalPerfarts,genre_ClassicsCult,genre_ArthouseInter,genre_ThrillMysSusp,genre_HistDocument,G,NC17,NR,PG,PG-13,R,ss_mean,ss_median,ss_p25,ss_p75,ss_std,ss_count,domestic_gross,domestic_opening,foreign_gross,markets,total_gross,markets_missing,audience_score_positive,movie_score_positive
The Darkness,92.0,19.0,3,32,6667.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.0,0.0,0.25,0.4399413450640599,32.0,96522687.0,14089952.0,113424350.0,21.0,209947037.0,0.0,False,False
The Fits,72.0,54.0,97,105,2273.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8666666666666667,1.0,1.0,1.0,0.3415650255319866,105.0,166425.0,10602.0,2811.0,3.0,169236.0,0.0,False,True
The Good Neighbor,98.0,46.0,29,14,912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.42857142857142855,0.0,0.0,1.0,0.5135525910130955,14.0,0.0,0.0,90573.0,,90573.0,1.0,False,False
Marauders,107.0,31.0,21,19,919.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3157894736842105,0.0,0.0,1.0,0.4775669329409193,19.0,0.0,0.0,1616004.0,10.0,1616004.0,0.0,False,False
Buddymoon,80.0,57.0,75,8,327.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.875,1.0,1.0,1.0,0.3535533905932738,8.0,,,,,,,False,True
The Beatles: Eight Days a Week - The Touring Years,,89.0,96,101,7976.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8910891089108911,1.0,1.0,1.0,0.3130811428051808,101.0,2930414.0,785336.0,9353386.0,27.0,12283800.0,0.0,True,True
Brother Nature,97.0,31.0,57,7,190.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,1.0,0.0,1.0,0.5345224838248488,7.0,14218.0,9699.0,0.0,,14218.0,1.0,False,False
Dancer,85.0,88.0,88,33,390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8181818181818182,1.0,1.0,1.0,0.39167472590032015,33.0,21995263.0,215681.0,87285000.0,10.0,109280263.0,0.0,True,True
The White Helmets,40.0,84.0,100,5,588.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.6,1.0,0.0,1.0,0.5477225575051661,5.0,,,,,,,True,True
ARQ,88.0,46.0,43,7,874.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.42857142857142855,0.0,0.0,1.0,0.5345224838248488,7.0,6048.0,0.0,0.0,,6048.0,1.0,False,False
